id,dia,horario,texto_original,texto_limpo,sentimento,prob_positivo,prob_negativo,prob_neutro,likes,retweets
2056545552448336082,18/05/2026,22:20,A Isabel Teixeira está arrasando como Pilar #QuemAmaCuida,A Isabel Teixeira está arrasando como Pilar,POS,0.9913,0.0023,0.0064,2,0
2056545547981402295,18/05/2026,22:20,vixe esse Heitor vai voltar a vida #QuemAmaCuida,vixe esse Heitor vai voltar a vida,NEG,0.0034,0.9634,0.0331,1,0
2056545547935228393,18/05/2026,22:20,Eu acho que não vai ser a Pilar a assassina desse vei #quemamacuida seria óbvio demais.,Eu acho que não vai ser a Pilar a assassina desse vei seria óbvio demais.,NEU,0.0345,0.2691,0.6964,1,0
2056545547436126274,18/05/2026,22:20,A Isabel Teixeira está muito caricata #QuemAmaCuida,A Isabel Teixeira está muito caricata,NEG,0.0052,0.9773,0.0175,3,0
2056545544386855337,18/05/2026,22:20,"vou criar um grupinho para a @LeticiaColin e para a novela, quem quer in comenta aqui #QuemAmaCuida","vou criar um grupinho para a e para a novela, quem quer in comenta aqui",NEU,0.0395,0.0159,0.9446,1,0
2056545531254423734,18/05/2026,22:20,"#QuemAmaCuida chegou com tudo e eu já tô amando as maldades de Pilar Brandão, quero ver quando ela conseguir o império do Arthur, toda semana terá uma morte!","chegou com tudo e eu já tô amando as maldades de Pilar Brandão, quero ver quando ela conseguir o império do Arthur, toda semana terá uma morte!",POS,0.8637,0.0403,0.096,1,0
2056545529346003277,18/05/2026,22:20,essa não eh a escada que a maria de fatima se jogou? #QuemAmaCuida,essa não eh a escada que a maria de fatima se jogou?,NEU,0.0175,0.063,0.9194,0,0
2056545528997904687,18/05/2026,22:20,Espero odiá-la nos próximos meses. #QuemAmaCuida https://t.co/B4cglTVOxj,Espero odiá-la nos próximos meses.,NEG,0.0137,0.9106,0.0757,1,0
2056545527840247843,18/05/2026,22:20,"Ai, tô sem respirar nas cenas da enchente, mds
Não sei separar as coisas mesmo
#QuemAmaCuida","Ai, tô sem respirar nas cenas da enchente, mds Não sei separar as coisas mesmo",NEG,0.0091,0.9748,0.0161,1,0
2056545526095474706,18/05/2026,22:20,Esse carlos  vai morrer #quemamacuida,Esse carlos vai morrer,NEG,0.007,0.9683,0.0247,0,0
2056545523121766645,18/05/2026,22:20,Parece a escada da casa de Laurinha figueroa  #QuemAmaCuida,Parece a escada da casa de Laurinha figueroa,NEU,0.0601,0.0268,0.9131,0,0
2056545522710712753,18/05/2026,22:20,Eu não aceito o jesuíta Barbosa indo de arrasta no primeiro capítulo #quemamacuida https://t.co/GrOzkKJ5rL,Eu não aceito o jesuíta Barbosa indo de arrasta no primeiro capítulo,NEG,0.0076,0.976,0.0164,3,0
2056545518650556820,18/05/2026,22:20,"Trilha Sonora de novelão, digna dos tempos de Mariozinho Vaz e Guto Graça Melo #QuemAmaCuida","Trilha Sonora de novelão, digna dos tempos de Mariozinho Vaz e Guto Graça Melo",POS,0.7999,0.0297,0.1704,1,0
2056545510744285264,18/05/2026,22:20,uma mistura das aberturas de fina estampa com a de império #QuemAmaCuida,uma mistura das aberturas de fina estampa com a de império,NEU,0.0767,0.0196,0.9037,1,0
2056545510618546585,18/05/2026,22:20,"Será que veremos uma briga entre o filho dele e a Adriana?

#QuemAmaCuida",Será que veremos uma briga entre o filho dele e a Adriana?,NEU,0.0068,0.0335,0.9597,1,0
2056545494944391262,18/05/2026,22:20,Mds a voz do irmão da Adriana?? É Baldelare é??? Que voz é essa ? #QuemAmaCuida,Mds a voz do irmão da Adriana?? É Baldelare é??? Que voz é essa ?,NEU,0.1578,0.2368,0.6054,1,0
2056545484974522412,18/05/2026,22:20,O chay todo bonzinho nesse papel #QuemAmaCuida,O chay todo bonzinho nesse papel,POS,0.9597,0.0078,0.0325,1,0
2056545480616693819,18/05/2026,22:20,"Desculpem os armindetes, mas só nesse primeiro capítulo a Pilar me pareceu mais icônica que Arminda. #QuemAmaCuida","Desculpem os armindetes, mas só nesse primeiro capítulo a Pilar me pareceu mais icônica que Arminda.",POS,0.6938,0.0808,0.2254,2,0
2056545479119294819,18/05/2026,22:20,"Isabel Teixeira ainda não me convenceu como vilã 
#QuemAmaCuida https://t.co/rJishpDTY3",Isabel Teixeira ainda não me convenceu como vilã,NEG,0.0058,0.9304,0.0637,0,0
2056545478477541766,18/05/2026,22:20,"Isabel Teixeira mostra que atores de teatro são maravilhosas 
#QuemAmaCuida",Isabel Teixeira mostra que atores de teatro são maravilhosas,POS,0.9338,0.0087,0.0575,2,0
2056545477487657333,18/05/2026,22:20,Pilar totalmente uma diva performatica #quemamacuida,Pilar totalmente uma diva performatica,POS,0.985,0.003,0.012,0,0
2056545473167528088,18/05/2026,22:20,"Isabel Texeira bem caricata, engessada como a direção de quem #QuemAmaCuida","Isabel Texeira bem caricata, engessada como a direção de quem",NEG,0.0048,0.95,0.0453,1,0
2056545468096589908,18/05/2026,22:20,@WalcyrCarrasco Boa sorte Walcir. Espero que seja Mara! To bem acompanhando o primeiro capítulo de #QuemAmaCuida https://t.co/L5iV81qPBl,Boa sorte Walcir. Espero que seja Mara! To bem acompanhando o primeiro capítulo de,POS,0.9392,0.0093,0.0515,5,0
2056545467178127468,18/05/2026,22:20,Ótima atriz a Isabel Teixeira mas gente... medo dessa vilã ser mais uma palhaça fazendo caras e bocas ou ser uma Violeta 2.0 tá me preocupando já a Pilar #QuemAmaCuida,Ótima atriz a Isabel Teixeira mas gente... medo dessa vilã ser mais uma palhaça fazendo caras e bocas ou ser uma Violeta 2.0 tá me preocupando já a Pilar,NEG,0.0134,0.9653,0.0212,1,0
2056545467085758827,18/05/2026,22:20,Que cena do paraíso 👄🥵 #QuemAmaCuida https://t.co/Vgbs6Rq13P,Que cena do paraíso 👄🥵,POS,0.9523,0.0078,0.0399,2,0
2056545466347642920,18/05/2026,22:20,"Já gostei da fotografia
#QuemAmaCuida https://t.co/5MZTSosGiZ",Já gostei da fotografia,POS,0.9926,0.0024,0.005,4,1
2056545465483542575,18/05/2026,22:20,Alguém consegue cancelar a morte do Fagundes. Não faz sentido um ator desse morrer em novela alguma #quemamacuida,Alguém consegue cancelar a morte do Fagundes. Não faz sentido um ator desse morrer em novela alguma,NEG,0.0069,0.9828,0.0103,1,1
2056545464019730738,18/05/2026,22:20,Aaaaaaa chay mora na paulista  #QuemAmaCuida,Aaaaaaa chay mora na paulista,POS,0.7975,0.0194,0.1832,0,0
2056545461507440773,18/05/2026,22:20,"UMA DIVA KKKKKKKKKKKKK

#QuemAmaCuida",UMA DIVA KKKKKKKKKKKKK,POS,0.9885,0.0027,0.0088,2,1
2056545461322809610,18/05/2026,22:20,Pilar demasiado cinematográfica en este primer capítulo de #QuemAmaCuida 😂,Pilar demasiado cinematográfica en este primer capítulo de 😂,POS,0.9726,0.0052,0.0222,0,0
2056545458667831532,18/05/2026,22:20,o cara mora na paulistaaaa #QuemAmaCuida,o cara mora na paulistaaaa,NEU,0.0679,0.1057,0.8264,0,0
2056545458424594733,18/05/2026,22:20,EU QUERO QUE VOCÊS SE DANEM #QuemAmaCuida https://t.co/ybHYpMayqV,EU QUERO QUE VOCÊS SE DANEM,NEG,0.0101,0.9467,0.0432,83,5
2056545449134182604,18/05/2026,22:20,"O que custa o Chay ter um personagem Bi? Qual a dificuldade?
 #QuemAmaCuida",O que custa o Chay ter um personagem Bi? Qual a dificuldade?,NEG,0.0061,0.9564,0.0374,0,0
2056545444965081548,18/05/2026,22:20,Essa vilã não vai dar pra engolir não 100% incoerente não vão conseguir pintar ela de diva #QuemAmaCuida,Essa vilã não vai dar pra engolir não 100% incoerente não vão conseguir pintar ela de diva,NEG,0.0037,0.9904,0.0059,0,0
2056545443849339232,18/05/2026,22:20,Socorro a Debora Evelyn #QuemAmaCuida,Socorro a Debora Evelyn,NEU,0.339,0.2151,0.4459,0,0
2056545442834387322,18/05/2026,22:20,Os diálogos de vilania superexpositivos zzzzzz #QuemAmaCuida,Os diálogos de vilania superexpositivos zzzzzz,POS,0.8883,0.0518,0.0599,0,0
2056545440229695691,18/05/2026,22:20,Ela se passando mds #QuemAmaCuida https://t.co/mRntjl96Cf,Ela se passando mds,NEG,0.0286,0.9371,0.0343,2,0
2056545412027133974,18/05/2026,22:20,"família maluca, ninguém tem direito a bens dos irmãos não 
#QuemAmaCuida","família maluca, ninguém tem direito a bens dos irmãos não",NEG,0.0054,0.9419,0.0527,2,0
2056545406884938134,18/05/2026,22:20,"Pilar fantástica!
#QuemAmaCuida",Pilar fantástica!,POS,0.9922,0.0019,0.0059,0,0
2056545397720408539,18/05/2026,22:20,"A Pilar é aqueles tipo de pessoa que gosta de falar mas não gosta de escutar, típico de vilã
#QuemAmaCuida
https://t.co/I3vOywqLEg","A Pilar é aqueles tipo de pessoa que gosta de falar mas não gosta de escutar, típico de vilã",NEG,0.0186,0.7298,0.2517,3,1
2056545390904623219,18/05/2026,22:20,"pilar vai ser uma baita vilã, isabel teixeira é boa demais #QuemAmaCuida","pilar vai ser uma baita vilã, isabel teixeira é boa demais",POS,0.8989,0.025,0.0761,4,0
2056545388341985538,18/05/2026,22:20,"Me julguem,  mais to gostando de Pilar.

#QuemAmaCuida","Me julguem, mais to gostando de Pilar.",POS,0.9469,0.0102,0.0428,1,0
2056545388199366867,18/05/2026,22:20,"Lembra um pouquinho a abertura da novela ""Império"" #QuemAmaCuida","Lembra um pouquinho a abertura da novela ""Império""",NEU,0.0402,0.0382,0.9216,1,0
2056545380003668305,18/05/2026,22:20,"Queria que a Isabel Teixeira tivesse pegado alguma mocinha antes , foram 3 vilãs seguidas #QuemAmaCuida","Queria que a Isabel Teixeira tivesse pegado alguma mocinha antes , foram 3 vilãs seguidas",NEU,0.0106,0.268,0.7214,1,0
2056545377482940672,18/05/2026,22:20,A fotografia tá linda #QuemAmaCuida,A fotografia tá linda,POS,0.9929,0.002,0.0051,1,0
2056545376719474854,18/05/2026,22:20,Isabel Teixeira roubando completamente a cena nesse primeiro capítulo amando muito #QuemAmaCuida,Isabel Teixeira roubando completamente a cena nesse primeiro capítulo amando muito,POS,0.9935,0.0019,0.0047,1,0
2056545376522408403,18/05/2026,22:20,Isabel arrasa mais to achando meio over essa caracterização dela #QuemAmaCuida,Isabel arrasa mais to achando meio over essa caracterização dela,NEG,0.017,0.9188,0.0642,0,0
2056545376463630544,18/05/2026,22:20,A vilã de #QuemAmaCuida tá com uma interpretação exagerada e pouco natural.,A vilã de tá com uma interpretação exagerada e pouco natural.,NEG,0.0045,0.9791,0.0165,2,0
2056545374991507579,18/05/2026,22:20,"Perder o emprego, perder a casa e o marido. Realmente a Adriana é pobre msm #QuemAmaCuida","Perder o emprego, perder a casa e o marido. Realmente a Adriana é pobre msm",NEG,0.0148,0.9111,0.0741,0,1
2056545373716377655,18/05/2026,22:20,"""Olha, fiquei até arrepiada só de ouvir essa palavra. POBREZA. Se fui pobre, eu nem me lembro..."" (Pilar) 

#Quemamacuida 

https://t.co/ZJMfi4FQH8","""Olha, fiquei até arrepiada só de ouvir essa palavra. POBREZA. Se fui pobre, eu nem me lembro..."" (Pilar)",POS,0.5769,0.2354,0.1877,242,18
2056545372357402978,18/05/2026,22:20,1º capítulo de #QuemAmaCuida entregue! Absolute novelão! Vocês gostaram?,1º capítulo de entregue! Absolute novelão! Vocês gostaram?,POS,0.6145,0.0102,0.3753,3,0
2056545371434713294,18/05/2026,22:19,"Arthur Brandão detesta Pilar tanto quanto César detestava Félix KKKK

#QuemAmaCuida",Arthur Brandão detesta Pilar tanto quanto César detestava Félix KKKK,NEU,0.0267,0.152,0.8213,0,0
2056545366963532166,18/05/2026,22:19,não é a escada de vale tudo #QuemAmaCuida,não é a escada de vale tudo,NEU,0.0525,0.1833,0.7642,0,0
2056545364228944198,18/05/2026,22:19,parece que os empregados gostam dele né  #QuemAmaCuida,parece que os empregados gostam dele né,NEU,0.0449,0.1754,0.7797,1,0
2056545359824859480,18/05/2026,22:19,"Adoro essa atuação performatica dela, ela faz bem, entao nao fica forçado #QuemAmaCuida","Adoro essa atuação performatica dela, ela faz bem, entao nao fica forçado",POS,0.9683,0.0113,0.0204,0,0
2056545350039605712,18/05/2026,22:19,"Que alegria ver a Isabela Garcia de volta nas novelas , alguns minutos e ela já entregando atuação de primeira 🥹 👏🏾  #quemamacuida https://t.co/453W0rTI6i","Que alegria ver a Isabela Garcia de volta nas novelas , alguns minutos e ela já entregando atuação de primeira 🥹 👏🏾",POS,0.9679,0.0089,0.0232,20,4
2056545324877951344,18/05/2026,22:19,Que cenão do Fagundes e a Isabel #QuemAmaCuida,Que cenão do Fagundes e a Isabel,POS,0.8755,0.0329,0.0916,2,0
2056545321937772670,18/05/2026,22:19,Tony Ramos entregando tudo no primeiro capítulo. 👏👏👏#QuemAmaCuida,Tony Ramos entregando tudo no primeiro capítulo. 👏👏👏,POS,0.9753,0.0056,0.0191,0,0
2056545321342157172,18/05/2026,22:19,"eu trocaria e faria o chay suede sumir na enchente e deixava o jesuita, mas sei que é opinião impopular #QuemAmaCuida","eu trocaria e faria o chay suede sumir na enchente e deixava o jesuita, mas sei que é opinião impopular",NEG,0.017,0.6196,0.3634,7,0
2056545317252690303,18/05/2026,22:19,#quemamacuida imagina Manuela dias assistindo,imagina Manuela dias assistindo,NEU,0.0995,0.1461,0.7544,1,0
2056545311237996782,18/05/2026,22:19,"A Pilar desse jeito falando do Arthur 
#QuemAmaCuida https://t.co/foyjGEbNdA",A Pilar desse jeito falando do Arthur,NEU,0.19,0.2441,0.566,98,16
2056545303654764895,18/05/2026,22:19,Alexandro Borges já como Ulisses e eu só consigo lembrar desse vídeo maravilhoso #QuemAmaCuida  https://t.co/vT3PK8JDZu,Alexandro Borges já como Ulisses e eu só consigo lembrar desse vídeo maravilhoso,POS,0.9595,0.0059,0.0346,2,0
2056545299145892223,18/05/2026,22:19,"como pode a globo ter caído TANTO em efeitos especiais.. tudo tão distante, tão falso.. #QuemAmaCuida","como pode a globo ter caído TANTO em efeitos especiais.. tudo tão distante, tão falso..",NEG,0.0047,0.9653,0.0299,0,0
2056545297497530876,18/05/2026,22:19,Novela chata quero minhas 3 graças de volta #quemamacuida,Novela chata quero minhas 3 graças de volta,NEG,0.0037,0.9914,0.0049,0,0
2056545295320637843,18/05/2026,22:19,"Pilar, eu já te amo #QuemAmaCuida","Pilar, eu já te amo",POS,0.976,0.0039,0.0201,0,0
2056545294733476064,18/05/2026,22:19,"Arthur humilhou agora ""um padrão de vida que não era seu"" 
#QuemAmaCuida","Arthur humilhou agora ""um padrão de vida que não era seu""",NEU,0.0292,0.1679,0.8029,0,0
2056545293127053542,18/05/2026,22:19,Na vida real a Carmita NUNCA ia pisar num prédio modernista com piso de taco no lado centro da avenida Paulista.  #QuemAmaCuida,Na vida real a Carmita NUNCA ia pisar num prédio modernista com piso de taco no lado centro da avenida Paulista.,NEU,0.0133,0.2625,0.7242,2,0
2056545290711187565,18/05/2026,22:19,ja tô com medo da pilar  #QuemAmaCuida,ja tô com medo da pilar,NEG,0.0137,0.9186,0.0677,4,0
2056545287666069799,18/05/2026,22:19,a pilar assim #quemamacuida https://t.co/hYfAaIrF3o,a pilar assim,NEU,0.2288,0.1336,0.6376,36,7
2056545287607361981,18/05/2026,22:19,"Achei a música fraca pra abertura, combinaria mais como trilha normal #QuemAmaCuida","Achei a música fraca pra abertura, combinaria mais como trilha normal",NEG,0.0066,0.9807,0.0127,1,0
2056545282817405018,18/05/2026,22:19,gente fiz uma coisa  #QuemAmaCuida https://t.co/7fHOR6eUUU,gente fiz uma coisa,NEU,0.0136,0.0161,0.9703,0,0
2056545280565146024,18/05/2026,22:19,O velho não deitando pra Pilar #QuemAmaCuida https://t.co/Egm35axDvi,O velho não deitando pra Pilar,NEG,0.0276,0.8623,0.11,5,0
2056545278522491237,18/05/2026,22:19,"“EU QUERO QUE VOCÊS SE DANEM!” 🗣️
#QuemAmaCuida https://t.co/b8tq4V5BiW",“EU QUERO QUE VOCÊS SE DANEM!” 🗣️,NEU,0.1136,0.3197,0.5667,21,1
2056545274906939540,18/05/2026,22:19,"Agatha Moreira, entra na obra de Walcyr Carrasco como a designer de joias Ingrid, filha de Pilar (Isabel Teixeira).

 #QuemAmaCuida https://t.co/ljeRqiUV4H","Agatha Moreira, entra na obra de Walcyr Carrasco como a designer de joias Ingrid, filha de Pilar (Isabel Teixeira).",NEU,0.0437,0.0144,0.9419,2,0
2056545272298184830,18/05/2026,22:19,assistindo #QuemAmaCuida e gostando muito do dilema/ cena construído entre o personagem do Fagundes e Isabel Teixeira.,assistindo e gostando muito do dilema/ cena construído entre o personagem do Fagundes e Isabel Teixeira.,POS,0.992,0.0016,0.0064,0,0
2056545268191924295,18/05/2026,22:19,Só atorzão e atrizona nessa novela #quemamacuida,Só atorzão e atrizona nessa novela,NEG,0.0303,0.9024,0.0673,0,0
2056545265520111720,18/05/2026,22:19,Será que pilar vai superar Arminda?? #QuemAmaCuida,Será que pilar vai superar Arminda??,NEU,0.0095,0.022,0.9685,0,0
2056545263611723955,18/05/2026,22:19,"*chego
*me humilho por dinheiro
*saio

#QuemAmaCuida #TVGlobo https://t.co/Ebio7uv6Gj",*chego *me humilho por dinheiro *saio,NEU,0.0632,0.1041,0.8327,51,14
2056545260193411448,18/05/2026,22:19,ISABEL TEIXEIRA SEU NOME É TALENTO!!!!! #QuemAmaCuida,ISABEL TEIXEIRA SEU NOME É TALENTO!!!!!,POS,0.9777,0.0034,0.0189,0,0
2056545256074563801,18/05/2026,22:19,O mordomo horrorizado #QuemAmaCuida https://t.co/ZK5pbUC4ak,O mordomo horrorizado,NEG,0.0343,0.6619,0.3038,0,0
2056545250932334922,18/05/2026,22:19,"De vez em quando, assim que Chay Suede aparece, eu dou uma risada lembrando do que tentaram fazer com personagem dele e do ajudante dele lá, me questiono se vão repetir o mesmo aqui quando o personagem do chay tiver uma queda na história ou coisa do tipo

#QuemAmaCuida https://t.co/SXPMzdzlA4","De vez em quando, assim que Chay Suede aparece, eu dou uma risada lembrando do que tentaram fazer com personagem dele e do ajudante dele lá, me questiono se vão repetir o mesmo aqui quando o personagem do chay tiver uma queda na história ou coisa do tipo",POS,0.5242,0.0842,0.3916,1,0
2056545244448014454,18/05/2026,22:19,"Pilar icônica, lamento #QuemAmaCuida https://t.co/pG7Xua4oLX","Pilar icônica, lamento",NEG,0.0048,0.9879,0.0074,457,36
2056545244305310137,18/05/2026,22:19,"Playlist de LUXO!!!! 🎧 aqui algumas músicas da trilha de #QuemAmaCuida:

Foguinho - Gaby Amarantos
When Did You Get Hot? - Sabrina Carpenter
Mônaco - Bad Bunny
Good Luck, Babe - Chappel Roan
Talismã - Simone Mendes
Sexo, Violencia y Llantas - Rosalia
Man I Need - Olivia Dean https://t.co/jzp9hL4L5J","Playlist de LUXO!!!! 🎧 aqui algumas músicas da trilha de Foguinho - Gaby Amarantos When Did You Get Hot? - Sabrina Carpenter Mônaco - Bad Bunny Good Luck, Babe - Chappel Roan Talismã - Simone Mendes Sexo, Violencia y Llantas - Rosalia Man I Need - Olivia Dean",NEU,0.1008,0.0135,0.8857,10,1
2056545232154763648,18/05/2026,22:19,"A Pilar podia ficar sem essa do Arthur #QuemAmaCuida
https://t.co/zFjvfqbI36",A Pilar podia ficar sem essa do Arthur,NEG,0.0146,0.91,0.0754,1,0
2056545229843419433,18/05/2026,22:19,"Artur fez um EXPOSED de Pilar. 

#QuemAmaCuida",Artur fez um EXPOSED de Pilar.,NEU,0.0122,0.1586,0.8292,0,0
2056545229671444610,18/05/2026,22:19,"Ela que se humilha querendo mesada, e diz que ele a humilhava.
#QuemAmaCuida","Ela que se humilha querendo mesada, e diz que ele a humilhava.",NEG,0.0333,0.645,0.3217,0,0
2056545226852839725,18/05/2026,22:19,"Não dá, gente. A Isabel Teixeira é muito canastrona #QuemAmaCuida","Não dá, gente. A Isabel Teixeira é muito canastrona",NEG,0.0038,0.9915,0.0046,1,0
2056545217273057307,18/05/2026,22:19,"Mais uma vilã doidona 
#QuemAmaCuida",Mais uma vilã doidona,NEU,0.0329,0.156,0.8111,0,0
2056545216153244055,18/05/2026,22:19,"Fagundes e Isabel Teixeira GIGANTES em cena
 #QuemAmaCuida",Fagundes e Isabel Teixeira GIGANTES em cena,POS,0.9747,0.0041,0.0212,1,0
2056545215234646201,18/05/2026,22:19,Cena bem mexicana essa #quemamacuida,Cena bem mexicana essa,POS,0.7793,0.0315,0.1892,1,1
2056545214186090557,18/05/2026,22:19,Ai que vibe pesada esse primeiro capítulo de #QuemAmaCuida https://t.co/lzPsK96dpk,Ai que vibe pesada esse primeiro capítulo de,NEG,0.0071,0.9812,0.0117,4,1
2056545209308090863,18/05/2026,22:19,Gerluce já teria feito o Paulinho secar essa água da enchente com canudinho. #QuemAmaCuida,Gerluce já teria feito o Paulinho secar essa água da enchente com canudinho.,NEU,0.0293,0.4661,0.5046,3,0
2056545207043195326,18/05/2026,22:19,"é humilhação de pobre, humilhação de velho... Ainda bem que tem pouco preto #QuemAmaCuida","é humilhação de pobre, humilhação de velho... Ainda bem que tem pouco preto",NEG,0.0273,0.913,0.0597,1,0
2056545202601406577,18/05/2026,22:19,Não gostei do cabelo da Pilar  #QuemAmaCuida,Não gostei do cabelo da Pilar,NEG,0.0028,0.9909,0.0063,0,0
2056545199254393274,18/05/2026,22:19,Muito boa essa cena de Pilar e Arthur #QuemAmaCuida,Muito boa essa cena de Pilar e Arthur,POS,0.9911,0.0017,0.0072,0,0
2056545198432260483,18/05/2026,22:19,Será que o Jesuíta é o filho desaparecido do Arthur? #QuemAmaCuida,Será que o Jesuíta é o filho desaparecido do Arthur?,NEU,0.0088,0.1032,0.888,1,0
2056545197899563108,18/05/2026,22:19,a pilar pro arthur em qualquer oportunidade #QuemAmaCuida  https://t.co/S8HrhM6BT0,a pilar pro arthur em qualquer oportunidade,NEU,0.4487,0.0351,0.5162,17,3
2056545197501096083,18/05/2026,22:19,"Isabel Teixeira pega uma cena simples e faz parecer um espetáculo, ela é muito boa #QuemAmaCuida https://t.co/6FFkQyoMM6","Isabel Teixeira pega uma cena simples e faz parecer um espetáculo, ela é muito boa",POS,0.9717,0.0081,0.0203,10,2
2056545190232351087,18/05/2026,22:19,Isabel Teixeira e Antônio Fagundes dando aulas!!! #QuemAmaCuida,Isabel Teixeira e Antônio Fagundes dando aulas!!!,POS,0.9756,0.0035,0.021,2,0
2056545186667196762,18/05/2026,22:19,isabel teixeira e antônio fagundes gigantes né convenhamos #quemamacuida,isabel teixeira e antônio fagundes gigantes né convenhamos,POS,0.807,0.026,0.1671,2,0
2056545186197483779,18/05/2026,22:19,#QuemAmaCuida Tenho medo dessa Pilar,Tenho medo dessa Pilar,NEG,0.0071,0.9702,0.0227,0,0
2056545179356557637,18/05/2026,22:19,"Com muito pouco tempo de tela, Tony a Fagundes já mostraram porque são estrelas deste quilate #QuemAmaCuida","Com muito pouco tempo de tela, Tony a Fagundes já mostraram porque são estrelas deste quilate",POS,0.5308,0.0271,0.4421,4,0
2056545179142697192,18/05/2026,22:19,"Pilar já entregando cenão e bons diálogos logo no primeiro capítulo, já tô adorando a diva
#QuemAmaCuida","Pilar já entregando cenão e bons diálogos logo no primeiro capítulo, já tô adorando a diva",POS,0.9905,0.0027,0.0069,4,0
2056545177318080822,18/05/2026,22:19,"Sequência da enchente da novela #QuemAmaCuida
PT 3 https://t.co/PXsr5gNZni",Sequência da enchente da novela PT 3,NEU,0.0205,0.0184,0.9612,3,3
2056545174596014318,18/05/2026,22:19,Não tem pão velho para a Pilar. #QuemAmaCuida https://t.co/OHV7HlyzTR,Não tem pão velho para a Pilar.,NEU,0.0234,0.0479,0.9287,0,0
2056545168900169750,18/05/2026,22:19,Off: se o personagem do Jesuíta (Carlos) não morresse ele seria mais shippado com a  Adriana do que o personagem do Chay (Pedro) #QuemAmaCuida,Off: se o personagem do Jesuíta (Carlos) não morresse ele seria mais shippado com a Adriana do que o personagem do Chay (Pedro),NEU,0.1218,0.1091,0.769,3,0
2056545166354264466,18/05/2026,22:19,Essa Vilã (Pilar) parece uma vilã da Laura Zapata. Muito caricata #QuemAmaCuida,Essa Vilã (Pilar) parece uma vilã da Laura Zapata. Muito caricata,NEG,0.006,0.9302,0.0638,0,0
2056545164819132685,18/05/2026,22:19,"Pilar, a clássica sanguessuga da família!!! 
#QuemAmaCuida","Pilar, a clássica sanguessuga da família!!!",NEG,0.0072,0.9274,0.0654,1,0
